run,n,mono_ns,high_ns,tsc_cycles
303,65536,1687785,1763805,4115050
304,65536,1646912,1656659,4297922
305,65536,1640185,1670898,4303110
306,65536,1641920,1717271,4069760
307,65536,1641098,1625384,4231168
308,65536,1645508,1883039,4184088
309,65536,1670767,1627841,4232178
310,65536,1639677,1695954,4068496
311,65536,1639830,1663046,4327778
312,65536,1684481,1702894,4191258
313,65536,1640367,1630735,4228258
314,65536,1736463,1699968,4079388
315,65536,1644114,1682276,4235754
316,65536,1702083,1707221,4284500
317,65536,1638016,1669067,4312756
318,65536,1680562,1685074,4436056
319,65536,1683802,1627042,4210344
320,65536,1679564,1731893,4074238
321,65536,1646758,1820351,4206674
322,65536,1724046,1655571,4430952
323,65536,1730820,1677743,4322492
324,65536,1642615,1660490,4619162
325,65536,1643872,1704348,4118564
326,65536,1639484,1656253,4118272
327,65536,1686702,1676677,4112512
328,65536,1642704,1703581,4191106
329,65536,1730946,1681133,4437682
330,65536,1643549,1663464,4317904
331,65536,1734894,1677220,4331502
332,65536,1645077,1842300,4294132
333,65536,1768413,1783484,4314456
334,65536,1753056,1740352,4444182
335,65536,1694008,1719914,4121140
336,65536,1692807,1655096,4174662
337,65536,1670317,1715594,4121364
338,65536,1637438,1742721,4538002
339,65536,1643150,1674233,4442404
340,65536,1642417,1661313,4066682
341,65536,1678138,1625529,4102566
342,65536,1689392,1745840,4436814
343,65536,1641084,1788752,4388638
344,65536,1646028,1656717,4181226
345,65536,1639509,1801385,5419238
346,65536,2368801,1740952,4757642
347,65536,1700492,1872178,4283174
348,65536,1726260,1745769,4072908
349,65536,1687073,1631047,4325054
350,65536,1638989,1691656,4185896
351,65536,1642373,1625808,4104908
352,65536,1642502,1687036,4492788
353,65536,1685644,1674323,4098350
354,65536,1675151,1654006,4196202
355,65536,1685885,1673671,4116930
356,65536,1672861,1659356,4198232
357,65536,1734232,1677220,4320300
358,65536,1645702,1887727,4345146
359,65536,1693298,1672474,4118426
360,65536,1643667,1651993,4296668
361,65536,1725063,1737616,4107444
362,65536,1681489,1782817,4164714
363,65536,1682702,1667354,4110590
364,65536,1881266,1657787,4451410
365,65536,1640948,1628890,4201738
366,65536,1728286,1695181,4065076
367,65536,1733127,1774427,4116352
368,65536,1735403,1704908,4135428
369,65536,1641201,1632491,4426254
370,65536,1685691,1692002,4074194
371,65536,1727448,1677834,4118518
372,65536,1640218,1745548,4303800
373,65536,1636702,1628798,4108366
374,65536,1682556,1698858,4137282
375,65536,1642211,1780991,4204810
376,65536,1677403,1651875,4075128
377,65536,1651492,1647417,4107220
378,65536,1750783,1652953,4414100
379,65536,1689847,1716487,4112118
380,65536,1643051,1705678,4280760
381,65536,1691428,1674599,4227048
382,65536,1643264,1656668,4188958
383,65536,1735521,1770129,4115130
384,65536,1640193,1858587,4166532
385,65536,1926368,1910126,4818894
386,65536,1923884,1931676,4768590
387,65536,1927000,1911285,4818764
388,65536,1928442,1890009,4801738
389,65536,1724546,1783168,4528588
390,65536,1728848,1813924,4367716
391,65536,1764277,1747942,4322272
392,65536,1906628,1727206,4590418
393,65536,1759737,1744731,4313854
394,65536,1792028,1776362,4360172
395,65536,1767074,1822538,4321856
396,65536,1725597,1738274,4378530
397,65536,1758512,1753986,4425758
398,65536,1723330,1821319,4365630
399,65536,1798464,1748974,4322440
400,65536,1724916,1771068,4361388
401,65536,1902321,1750644,4319288
402,65536,1728186,1737166,4474104
403,65536,1796211,1773450,4494994
404,65536,1726121,1735086,4377414
405,65536,1836249,1745379,4408134
406,65536,1725692,1746373,4366436
407,65536,1819359,1787488,4416072
408,65536,1729989,1822790,4546938
409,65536,1862649,1744598,4319298
410,65536,1727944,1744813,4468710
411,65536,1761148,1754040,4370424
412,65536,1767941,1800777,4457030
413,65536,1765184,1793837,4327028
414,65536,1727902,1785931,4380494
415,65536,1761303,1710246,4333178
416,65536,1723358,1777753,4280262
417,65536,1761517,1714513,4492000
418,65536,1763242,1761961,4371828
419,65536,1763913,1749496,4418762
420,65536,1762295,1837936,4460360
421,65536,1768651,1795129,4322786
422,65536,1756681,1742673,4273214
423,65536,1805031,1749463,4518700
424,65536,1725769,1843755,4779662
425,65536,1771290,1711487,4421994
426,65536,1799560,1736638,4280870
427,65536,1721091,1793380,4309630
428,65536,1794740,1817629,4378458
429,65536,1767011,1795508,4317732
430,65536,1728579,1733999,4473192
431,65536,1757880,1749165,4407896
432,65536,1837363,1744751,4288768
433,65536,1762693,1719700,4594096
434,65536,1767459,2104546,4292858
435,65536,1726027,1712620,4398280
436,65536,1755648,1808870,4532288
437,65536,1725128,1715067,4404514
438,65536,1802612,1813572,4304342
439,65536,1800279,1721364,4414898
440,65536,1809539,1878393,4287450
441,65536,1800927,1810538,4564248
442,65536,1898488,1833909,4534678
443,65536,1817724,2034489,5969116
444,65536,2132776,1890942,5141804
445,65536,1824362,1910700,4554936
446,65536,1815215,1936257,4534972
447,65536,1826556,1815111,4552184
448,65536,1817633,1830705,4526796
449,65536,1904136,1816745,4561402
450,65536,1823333,1845847,4518606
451,65536,1821352,1858179,4549482
452,65536,1822587,1844539,4517210
453,65536,1814294,1808572,4555812
454,65536,1823484,1827822,4531954
455,65536,1729348,1676086,4103570
456,65536,1827144,1749212,4074180
457,65536,1685025,1636069,4315438
458,65536,1685117,1660884,4426588
459,65536,1684938,1675980,4110494
460,65536,1749251,1707640,4092000
461,65536,1640853,3160630,5869132
462,65536,3188698,2689045,7480206
463,65536,2722723,2467089,6856294
464,65536,2327479,2277122,5796992
465,65536,2044487,2041862,5130188
466,65536,1937001,1837492,4530380
467,65536,1823047,1631560,4452412
468,65536,1639563,1694517,4083994
469,65536,1662344,1632306,4101302
470,65536,1603468,1748275,4491024
471,65536,1655944,1598255,4140732
472,65536,1734869,1757204,4099020
473,65536,1641565,1636820,4470640
474,65536,1683240,1698993,4206246
475,65536,1746039,2548998,4112348
476,65536,2153469,2214054,4839916
477,65536,1868018,1685467,4328302
478,65536,1642729,1742085,4706262
479,65536,1930614,1674240,4126420
480,65536,1642662,1748951,4191176
481,65536,1644971,1640220,4224188
482,65536,1681478,1691850,4195102
483,65536,1645611,2385725,5519674
484,65536,2753543,2418521,5369212
485,65536,2286225,2382015,5424064
486,65536,2184743,2282047,5576060
487,65536,2365049,2211618,5792328
488,65536,2185473,2300571,5426942
489,65536,2189520,2442873,5481834
490,65536,2203433,2229040,5900468
491,65536,2348181,2180776,5520810
492,65536,2355970,2206465,5815996
493,65536,2194257,2341927,5495300
494,65536,2291556,2310128,6016088
495,65536,2194693,2353508,5941846
496,65536,2579282,2025996,5090162
497,65536,2003268,2480751,6306500
498,65536,2329865,2371984,5808544
499,65536,2333387,2331567,5831990
500,65536,2326334,2341878,5793624
501,65536,2333633,2329385,5828478
502,65536,2327019,2357893,5915612
503,65536,2334670,2059383,5988612
504,65536,2246729,2062024,5094212
505,65536,2044329,1970256,5104588
506,65536,1819580,1844458,4658186
507,65536,1831441,1717236,4102686
508,65536,1688876,1740168,4200574
509,65536,1800337,1659320,4563932
510,65536,1689762,1702698,4212286
511,65536,1747477,1657668,4752068
512,65536,1804848,1659597,4081962
513,65536,1651118,1647131,4029084
514,65536,1600741,1619806,4123990
515,65536,1652005,1633930,4009372
516,65536,1603529,1620201,4233448
517,65536,1771250,1659166,4379396
518,65536,1706673,1657317,3986012
519,65536,1604384,1652713,4141658
520,65536,1671352,1656664,3991892
521,65536,1601386,1590455,4230164
522,65536,1701444,1722709,4217274
523,65536,1656049,1594542,4113358
524,65536,1647825,1648894,3988690
525,65536,1654420,1595658,4006226
526,65536,1604558,1660705,4112878
527,65536,1651432,1694942,4002364
528,65536,1739871,1612386,4767220
529,65536,1654486,1648353,4290972
530,65536,1647219,1615399,4096474
531,65536,1646433,1640918,4027994
532,65536,1657743,1711819,4099220
533,65536,1652689,2808317,6207200
534,65536,2811700,2840379,6996294
535,65536,2817189,2803653,7046882
536,65536,2720739,2433837,5996348
537,65536,2398363,2097609,5281400
538,65536,2100524,1886321,5000712
539,65536,1871094,1808316,4677010
540,65536,1684492,1699892,4272486
541,65536,1719655,1581718,4007012
542,65536,1662496,1704639,3951534
543,65536,1606294,1712693,4186856
544,65536,1601482,1697124,4401706
545,65536,1728290,1716132,4209604
546,65536,1723762,1695751,4383248
547,65536,1727425,1755721,4205900
548,65536,1683885,1747592,4380188
549,65536,1727982,1717980,4305818
550,65536,1683987,1703419,4295346
551,65536,1724820,1718769,4214726
552,65536,1679876,1860564,4297266
553,65536,1759593,1692463,4311920
554,65536,1684138,1689941,4391738
555,65536,1725550,1719579,4206852
556,65536,1685212,1703366,4293850
557,65536,1721828,1773885,4432194
558,65536,1724816,1696427,4227898
559,65536,1726299,1676764,4293152
560,65536,1684576,1692818,4185414
561,65536,1743349,1674746,4204542
562,65536,1682943,1770476,4377630
563,65536,1717158,1677402,4213022
564,65536,1681237,1744821,4193024
565,65536,1682732,1674526,4297940
566,65536,1716932,1731143,4184248
567,65536,1680484,1731633,4292880
568,65536,1719851,1733489,4190404
569,65536,1683061,1674036,4302354
570,65536,1763876,1739811,4176388
571,65536,1680922,1675191,4293076
572,65536,1716926,1861417,4262960
573,65536,1683667,1672791,4309298
574,65536,1721158,1736075,4186842
575,65536,1679292,1673802,4311182
576,65536,1719058,1820383,4183196
577,65536,1718459,1815495,4395634
578,65536,1765601,1771938,4294330
579,65536,1710295,1887269,4616894
580,65536,1839175,1729076,4266746
581,65536,1756997,1753765,4344930
582,65536,1757038,1826316,4380496
583,65536,1762206,1716301,4404376
584,65536,1723072,1730076,4305598
585,65536,1686632,1686465,4303462
